Aruba	ABW	
Afghanistan	AFG	19362969582.3643
Angola	AGO	105750987618.63
Albania	ALB	15102500898.238
Andorra	AND	3236543909.34844
Arab World	ARB	2774314967156.43
United Arab Emirates	ARE	414178942592.479
Argentina	ARG	519871519807.795
Armenia	ARM	12433089919.0459
American Samoa	ASM	636000000
Antigua and Barbuda	ATG	1610574074.07407
Australia	AUS	1433904348500.12
Austria	AUT	455285818035.125
Azerbaijan	AZE	46939529411.7647
Burundi	BDI	3036931818.18182
Belgium	BEL	542761092103.469
Benin	BEN	10354274634.9108
Burkina Faso	BFA	14124775068.569
Bangladesh	BGD	274024958965.892
Bulgaria	BGR	65132951116.4756
Bahrain	BHR	37746196808.5106
Bahamas, The	BHS	12424500000
Bosnia and Herzegovina	BIH	20161865419.4327
Belarus	BLR	59662495092.2654
Belize	BLZ	1871203164.08274
Bermuda	BMU	
Bolivia	BOL	40287647756.8741
Brazil	BRA	1868626087908.48
Barbados	BRB	5145000000
Brunei Darussalam	BRN	13567351175.0315
Bhutan	BTN	2534965162.78084
Botswana	BWA	18616018903.4434
Central African Republic	CAF	2219894701.95124
Canada	CAN	1713341704877.01
Central Europe and the Baltics	CEB	1632912822080.02
Switzerland	CHE	705140354166.312
Channel Islands	CHI	
Chile	CHL	298231133532.749
China	CHN	13608151864637.9
Cote d'Ivoire	CIV	43007047821.7541
Cameroon	CMR	38675205293.0462
Congo, Dem. Rep.	COD	47227535290.9218
Congo, Rep.	COG	11263682694.0393
Colombia	COL	331047040087.878
Comoros	COM	1177955048.65299
Cabo Verde	CPV	1976814276.50792
Costa Rica	CRI	60130106115.6294
Caribbean small states	CSS	73523538154.6812
Cuba	CUB	100023000000
Curacao	CUW	3127908037.85918
Cayman Islands	CYM	
Cyprus	CYP	24961988663.2026
Czech Republic	CZE	245225882903.37
Germany	DEU	3947620162502.96
Djibouti	DJI	2955912228.22417
Dominica	DMA	550892592.592593
Denmark	DNK	355675329085.952
Dominican Republic	DOM	85555390387.0355
Algeria	DZA	173757952824.25
East Asia & Pacific (excluding high income)	EAP	16284459791798.2
Early-demographic dividend	EAR	11638154660763.3
East Asia & Pacific	EAS	25942413437360
Europe & Central Asia (excluding high income)	ECA	3410695054029.32
Europe & Central Asia	ECS	23068402795298.5
Ecuador	ECU	108398058000
Egypt, Arab Rep.	EGY	250894760351.232
Euro area	EMU	13646587749131
Eritrea	ERI	
Spain	ESP	1419041949909.82
Estonia	EST	30732144528.9795
Ethiopia	ETH	84355604752.5299
European Union	EUU	18768076076357.3
Fragile and conflict affected situations	FCS	841432963671.601
Finland	FIN	276743120515.764
Fiji	FJI	5536759658.87012
France	FRA	2777535239277.98
Faroe Islands	FRO	
Micronesia, Fed. Sts.	FSM	401932279.019221
Gabon	GAB	16853589311.4139
United Kingdom	GBR	2855296731521.96
Georgia	GEO	17599660629.0202
Ghana	GHA	65556464048.1539
Gibraltar	GIB	
Guinea	GIN	10907214993.5687
Gambia, The	GMB	1632823198.95828
Guinea-Bissau	GNB	1458156026.16376
Equatorial Guinea	GNQ	13432377049.5402
Greece	GRC	218031844583.994
Grenada	GRD	1185925925.92593
Greenland	GRL	
Guatemala	GTM	78460447919.9915
Guam	GUM	5920000000
Guyana	GUY	3878662620.77146
High income	HIC	54205741387665
Hong Kong SAR, China	HKG	362682018243.286
Honduras	HND	23969890430.7882
Heavily indebted poor countries (HIPC)	HPC	729217800806.705
Croatia	HRV	60971699315.1776
Haiti	HTI	9658721168.86849
Hungary	HUN	157882912778.254
IBRD only	IBD	30473237070032.2
IDA & IBRD total	IBT	32694494483535.2
IDA total	IDA	2229559648296.88
IDA blend	IDB	993777987034.123
Indonesia	IDN	1042173300625.55
IDA only	IDX	1235900068469.42
Isle of Man	IMN	
India	IND	2718732231257.57
Not classified	INX	
Ireland	IRL	382487490532.479
Iran, Islamic Rep.	IRN	
Iraq	IRQ	224228010477.889
Iceland	ISL	25878475760.1131
Israel	ISR	370587977153.583
Italy	ITA	2083864259622.65
Jamaica	JAM	15713908816.1463
Jordan	JOR	42231295774.6479
Japan	JPN	4971323079771.87
Kazakhstan	KAZ	179339994859.384
Kenya	KEN	87908262519.9164
Kyrgyz Republic	KGZ	8092836608.78875
Cambodia	KHM	24542474061.2426
Kiribati	KIR	188284518.828452
St. Kitts and Nevis	KNA	1010822222.22222
Korea, Rep.	KOR	1619423701169.63
Kuwait	KWT	140645364238.411
Latin America & Caribbean (excluding high income)	LAC	5204644664482.81
Lao PDR	LAO	17953786416.1431
Lebanon	LBN	56639155555.5556
Liberia	LBR	3264000000
Libya	LBY	48364208571.4286
St. Lucia	LCA	1921848222.22222
Latin America & Caribbean	LCN	5800575821179.99
Least developed countries: UN classification	LDC	1064728969249.71
Low income	LIC	588230486530.751
Liechtenstein	LIE	
Sri Lanka	LKA	88900770857.6351
Lower middle income	LMC	6702152996184.07
Low & middle income	LMY	31735694332002.5
Lesotho	LSO	2738786277.79392
Late-demographic dividend	LTE	22183244483370.7
Lithuania	LTU	53429066429.1251
Luxembourg	LUX	70885325883.0941
Latvia	LVA	34409229177.9105
Macao SAR, China	MAC	55084050789.7182
St. Martin (French part)	MAF	
Morocco	MAR	117921394402.361
Monaco	MCO	7184844192.63456
Moldova	MDA	11443671435.9024
Madagascar	MDG	13853432868.227
Maldives	MDV	5327457149.72581
Middle East & North Africa	MEA	3610538547716.1
Mexico	MEX	1220699479845.98
Marshall Islands	MHL	221278000
Middle income	MIC	31149549526392.7
North Macedonia	MKD	12672131053.1578
Mali	MLI	17163432832.0957
Malta	MLT	14553422928.8831
Myanmar	MMR	71214803377.8284
Middle East & North Africa (excluding high income)	MNA	
Montenegro	MNE	5504166666.66667
Mongolia	MNG	13066749138.3261
Northern Mariana Islands	MNP	1323000000
Mozambique	MOZ	14717223206.9
Mauritania	MRT	5234817927.17087
Mauritius	MUS	14220348672.7333
Malawi	MWI	7064971176.34408
Malaysia	MYS	358581943446.259
North America	NAC	22264345319868.8
Namibia	NAM	14521711633.9533
New Caledonia	NCL	
Niger	NER	9290938457.2883
Nigeria	NGA	397269616080.908
Nicaragua	NIC	13117845416.6297
Netherlands	NLD	913658465709.125
Norway	NOR	434166615431.909
Nepal	NPL	29040398982.3466
Nauru	NRU	125628504.250316
New Zealand	NZL	204923917869.355
OECD members	OED	52676218073059.5
Oman	OMN	79276723016.9051
Other small states	OSS	452394202736.741
Pakistan	PAK	314588210501.063
Panama	PAN	65055100000
Peru	PER	222044970486.217
Philippines	PHL	330910343610.956
Palau	PLW	283994900
Papua New Guinea	PNG	23497607690.1178
Poland	POL	585663814824.044
Pre-demographic dividend	PRE	1321566580882.4
Puerto Rico	PRI	101130900000
Korea, Dem. Peopleâ€™s Rep.	PRK	
Portugal	PRT	240674524464.24
Paraguay	PRY	40496953779.071
West Bank and Gaza	PSE	14615900000
Pacific island small states	PSS	10381220342.9267
Post-demographic dividend	PST	50090289474246.6
French Polynesia	PYF	
Qatar	QAT	191362087912.088
Romania	ROU	239552516744.469
Russian Federation	RUS	1657554647149.87
Rwanda	RWA	9508715596.4368
South Asia	SAS	3452511962459.38
Saudi Arabia	SAU	786521831571.957
Sudan	SDN	40851536133.7642
Senegal	SEN	24129599551.7869
Singapore	SGP	364156657769.87
Solomon Islands	SLB	1395608472.01325
Sierra Leone	SLE	4085114794.22324
El Salvador	SLV	26057000000
San Marino	SMR	
Somalia	SOM	4720727278.18833
Serbia	SRB	50597289146.7041
Sub-Saharan Africa (excluding high income)	SSA	1708356764548.15
South Sudan	SSD	
Sub-Saharan Africa	SSF	1709948446225.32
Small states	SST	536234977979.02
Sao Tome and Principe	STP	422296762.322469
Suriname	SUR	3590753768.84422
Slovak Republic	SVK	105904632155.755
Slovenia	SVN	54007972106.4629
Sweden	SWE	556086488936.559
Eswatini	SWZ	4710618471.93167
Sint Maarten (Dutch part)	SXM	
Seychelles	SYC	1590180446.19384
Syrian Arab Republic	SYR	
Turks and Caicos Islands	TCA	1022312010
Chad	TCD	11273115239.4255
East Asia & Pacific (IDA & IBRD countries)	TEA	16253261537421.4
Europe & Central Asia (IDA & IBRD countries)	TEC	4057330568168.54
Togo	TGO	5358722982.70893
Thailand	THA	504992757704.997
Tajikistan	TJK	7522947810.12326
Turkmenistan	TKM	40761142857.1429
Latin America & the Caribbean (IDA & IBRD countries)	TLA	5559757932431.6
Timor-Leste	TLS	2581000000
Middle East & North Africa (IDA & IBRD countries)	TMN	
Tonga	TON	450353313.884584
South Asia (IDA & IBRD)	TSA	3452511962459.38
Sub-Saharan Africa (IDA & IBRD countries)	TSS	1709948446225.32
Trinidad and Tobago	TTO	23808146747.7994
Tunisia	TUN	39871132267.9361
Turkey	TUR	771350330455.267
Tuvalu	TUV	42587778.4724662
Tanzania	TZA	58001200572.3965
Uganda	UGA	27461440192.3549
Ukraine	UKR	130832374404.882
Upper middle income	UMC	24446132587811.4
Uruguay	URY	59596885024.3487
United States	USA	20544343456936.5
Uzbekistan	UZB	50499921557.5105
St. Vincent and the Grenadines	VCT	811300000
Venezuela, RB	VEN	
British Virgin Islands	VGB	
Virgin Islands (U.S.)	VIR	
Vietnam	VNM	245213686369.157
Vanuatu	VUT	914301119.28749
World	WLD	85909815761906.3
Samoa	WSM	820491798.30076
Kosovo	XKX	7938990793.20113
Yemen, Rep.	YEM	26914402223.7828
South Africa	ZAF	368288939768.322
Zambia	ZMB	26720073435.9014
Zimbabwe	ZWE	31000519447.175
